customer_id,email,first_name,last_name,created_at,accepts_marketing,total_spent,orders_count,acquisition_source,acquisition_date,default_country,gender_segment_affinity,order_count,ltv
cust_000339,marcus.williams.339@example-fake.com,Marcus,Williams,2024-06-03T10:56:04,True,652.83,7,klaviyo/email/Drop_Announcement,2024-06-03,GB,mens,7,652.83
cust_001089,eoin.thompson.1089@example-fake.com,Eoin,Thompson,2024-06-21T10:03:38,True,223.94,2,google/cpc/Brand_Search_UK,2024-06-21,GB,mens,2,223.94
cust_001979,tariq.johnson.1979@example-fake.com,Tariq,Johnson,2024-07-15T22:27:10,True,369.77,3,facebook/paid_social/Retargeting_AllUsers,2024-07-15,US,mens,3,369.77
cust_002026,stefan.park.2026@example-fake.com,Stefan,Park,2024-07-17T17:40:42,True,240.45,2,google/cpc/Shopping_Hoodies_UK,2024-07-17,US,mens,2,240.45
cust_002149,raj.jones.2149@example-fake.com,Raj,Jones,2024-07-20T18:40:59,True,48.95,1,google/cpc/Shopping_Tees_UK,2024-07-20,US,mens,1,48.95
cust_003111,jamal.martinez.3111@example-fake.com,Jamal,Martinez,2024-08-24T09:47:17,True,57.94,1,tiktok/organic_social/direct,2024-08-24,GB,mens,1,57.94
cust_005383,chioma.lopez.5383@example-fake.com,Chioma,Lopez,2024-11-01T12:52:52,True,884.94,6,facebook/paid_social/Retargeting_AllUsers,2024-11-01,GB,mens,6,884.94
cust_006888,finn.hussain.6888@example-fake.com,Finn,Hussain,2024-11-29T15:16:12,True,368.1,2,klaviyo/email/Drop_Announcement,2024-11-29,US,mens,2,368.1
cust_008913,liam.thompson.8913@example-fake.com,Liam,Thompson,2025-01-27T17:06:06,False,286.88,3,facebook/paid_social/Prospecting_Mens_UK,2025-01-27,GB,mens,3,286.88
cust_009103,kofi.patel.9103@example-fake.com,Kofi,Patel,2025-02-03T22:36:07,True,138.0,1,instagram/paid_social/Prospecting_Mens_UK,2025-02-03,GB,mens,1,138.0
cust_012074,mohammed.taylor.12074@example-fake.com,Mohammed,Taylor,2025-05-28T13:42:39,True,395.38,3,instagram/paid_social/Prospecting_Mens_UK,2025-05-28,GB,mens,3,395.38
cust_012346,chen.watanabe.12346@example-fake.com,Chen,Watanabe,2025-06-04T22:56:34,False,41.94,1,facebook/paid_social/Prospecting_Mens_UK,2025-06-04,GB,mens,1,41.94
cust_016236,nikolai.evans.16236@example-fake.com,Nikolai,Evans,2025-11-12T19:42:16,False,281.0,1,facebook/paid_social/Retargeting_AllUsers,2025-11-12,GB,mens,1,281.0
cust_016395,jakub.osei.16395@example-fake.com,Jakub,Osei,2025-11-17T22:07:25,False,1351.45,7,google/cpc/Brand_Search_UK,2025-11-17,US,mens,7,1351.45
cust_016723,layla.williams.16723@example-fake.com,Layla,Williams,2025-11-26T20:54:58,True,60.94,1,tiktok/organic_social/direct,2025-11-26,GB,mens,1,60.94
cust_016934,eoin.garcia.16934@example-fake.com,Eoin,Garcia,2025-11-28T16:42:28,True,57.94,1,google/cpc/Brand_Search_UK,2025-11-28,GB,mens,1,57.94
cust_016938,fatima.brown.16938@example-fake.com,Fatima,Brown,2025-11-28T17:16:07,False,104.22,2,instagram/paid_social/Prospecting_Mens_EU,2025-11-28,GB,mens,2,104.22
cust_017224,nadia.evans.17224@example-fake.com,Nadia,Evans,2025-12-01T12:31:18,True,177.44,2,klaviyo/email/Abandoned_Cart,2025-12-01,GB,mens,2,177.44
cust_017263,james.osei.17263@example-fake.com,James,Osei,2025-12-01T10:23:10,True,257.88,3,direct/none/direct,2025-12-01,GB,mens,3,257.88
cust_017287,aisha.nowicki.17287@example-fake.com,Aisha,Nowicki,2025-12-01T08:40:18,True,1557.39,10,instagram/paid_social/Prospecting_Mens_UK,2025-12-01,GB,womens,10,1557.3899999999999
cust_017892,elena.kowalski.17892@example-fake.com,Elena,Kowalski,2025-12-18T22:51:26,True,313.39,3,klaviyo/email/Drop_Announcement,2025-12-18,GB,mens,3,313.39
cust_017955,oliver.mensah.17955@example-fake.com,Oliver,Mensah,2025-12-20T12:01:38,False,59.94,1,facebook/paid_social/Prospecting_Mens_UK,2025-12-20,GB,mens,1,59.94
cust_018694,hassan.garcia.18694@example-fake.com,Hassan,Garcia,2026-01-12T19:05:34,True,225.0,1,instagram/paid_social/Womens_Launch_Prospecting,2026-01-12,GB,mens,1,225.0
cust_019547,oliver.martinez.19547@example-fake.com,Oliver,Martinez,2026-02-13T21:21:21,True,267.56,3,tiktok/organic_social/direct,2026-02-13,GB,mens,3,267.56
